,title,recommended_movies
9512,Windstruck,"['Falling in Love Again', 'Artemisia', 'High Strung', 'All About Lily Chou-Chou', 'Dolemite']"
9513,Howard Zinn: You Can't Be Neutral on a Moving Train,"['The Trials of Henry Kissinger', 'Ayn Rand: A Sense of Life', 'Derrida', 'The Times of Harvey Milk', 'D.O.A.']"
9514,Outfoxed: Rupert Murdoch's War on Journalism,"['Manufacturing Consent: Noam Chomsky and the Media', 'Broadcast News', 'Switching Channels', 'Two Can Play That Game', 'Network']"
9515,"Hijacking Catastrophe: 9/11, Fear & the Selling of American Empire","['Celsius 41.11: The Temperature at Which the Brain... Begins to Die', ""Bush's Brain"", 'Life and Debt', 'Journeys with George', 'F for Fake']"
9516,Fahrenhype 9/11,"['Forget Baghdad: Jews and Arabs - The Iraqi Connection', ""It's All True"", 'F for Fake', 'Condo Painting', 'Document of the Dead']"
9517,Jerry Seinfeld: I'm Telling You for the Last Time,"['Richard Pryor: Here and Now', 'Comedian', 'Margaret Cho: Notorious C.H.O.', 'The Jimmy Show', 'Martin Lawrence: You So Crazy']"
9518,Noel,"['101 Reykjavik', 'The Hospital', 'Brighton Beach Memoirs', 'Carried Away', 'Scrooged']"
9519,In Enemy Hands,"['Lifeboat', 'Midway', 'The Young Lions', 'The Enemy Below', 'Enigma']"
9520,Sexual Dependency,"['The Boys of St. Vincent', 'The Wild McCullochs', 'Sex, Lies, and Videotape', 'I Never Promised You a Rose Garden', 'I Love You, I Love You Not']"
9521,Chimes at Midnight,"['Macbeth', 'Richard III', 'Richard III', 'Tromeo & Juliet', 'Titus']"
9522,Million Dollar Baby,"['The Boxer', 'Ali', 'Honeysuckle Rose', 'Sunrise at Campobello', 'Song of the South']"
9523,The Narrow Margin,"['Little Caesar', 'The Big Combo', 'Gloria', 'Electra Glide in Blue', 'Sexy Beast']"
9524,Hell Is for Heroes,"['Stalingrad', 'Anzio', 'Battleground', 'The Young Lions', '36 Hours']"
9525,Vincent & Theo,"['Went to Coney Island on a Mission from God... Be Back by Five', 'A Rumor of Angels', 'Lust for Life', 'The Proprietor', 'Slaves of New York']"
9526,Some Came Running,"['Delirious', 'At First Sight', 'Goodbye, Mr. Chips', 'The Last Time I Saw Paris', 'Executive Suite']"
9527,Gozu,"['Monday', 'Henry II, Portrait of a Serial Killer', 'Brother', 'Blue Spring', 'The Hunters']"
9528,"Goodbye, Dragon Inn","['One Hundred and One Nights', 'Intervista', 'The Kentucky Fried Movie', 'From the Journals of Jean Seberg', 'Shadows']"
9529,Hotel Rwanda,"['The Fighting Sullivans', 'The Million Dollar Hotel', ""Schindler's List"", 'The Bloody Child', 'Henry V']"
9530,The Mahabharata,"['The Fighting Sullivans', 'Cavalcade', 'The War Is Over', 'Great Expectations', 'The Winter War']"
9531,Sitcom,"['It Runs in the Family', 'Nicholas Nickleby', 'The Grass Harp', 'Parenthood', 'Far Side of the Moon']"
9532,Born to Dance,"['The Stooge', 'A Guy Named Joe', 'Barcelona', 'The Divorcee', ""I'm with Lucy""]"
9533,Travels with My Aunt,"['Another Thin Man', 'Scaramouche', 'Benny & Joon', 'At First Sight', 'I Love You Again']"
9534,Blood and Black Lace,"['Laura', 'Hellraiser: Inferno', 'Deep Red', 'Presumed Innocent', 'Torso']"
9535,Hellraiser: Inferno,"['Laura', 'Mulholland Falls', 'The Big Easy', 'True Crime', 'Memories of Murder']"
9536,Charlie and the Chocolate Factory,"['Willy Wonka & the Chocolate Factory', 'Jack and the Beanstalk', 'Bogus', 'Big', 'Billy Liar']"
9537,Auggie Rose,"['Reindeer Games', 'Penitentiary II', 'Rear Window', 'Crane World', 'Lockdown']"
9538,The Wrong Box,"['The First Great Train Robbery', ""L'associé"", 'Hot Lead & Cold Feet', 'Snow days', 'The Château']"
9539,3-Iron,"['The Umbrella Woman', ""L'eclisse"", 'Dark Passage', 'The Magnificent Ambersons', 'Oasis']"
9540,It  Happens Every Spring,"['The Sandlot', 'Mr. Baseball', 'Talent for the Game', 'Kids in the Hall: Brain Candy', 'Ed']"
9541,The Life Aquatic with Steve Zissou,"['Intervista', 'Alfie', 'King Kong', 'Spice World', 'The Independent']"
9542,The Aviator,"['Bright Eyes', 'Living in Oblivion', 'Divine Trash', 'The Proprietor', 'Slaves of New York']"
9543,The Phantom of the Opera,"['The Phantom of the Opera', 'The Phantom of the Opera', 'Phantom of the Opera', 'Carmen', 'Carmen Jones']"
9544,Beyond the Sea,"['Song of the South', 'Honeysuckle Rose', 'The Truman Show', 'The Inheritance', 'How I Killed My Father']"
9545,The Woodsman,"['The Boxer', 'The Eel', 'Crane World', 'A Further Gesture', 'Lockdown']"
9546,In Good Company,"['College', 'The Paper Chase', 'Nothing in Common', 'Enemies: A Love Story', 'Little Miss Marker']"
9547,Meet the Fockers,"['Meet the Parents', 'My Big Fat Greek Wedding', 'Snow days', 'Enemies: A Love Story', 'Out of Sight']"
9548,The Assassination of Richard Nixon,"['Honeysuckle Rose', 'Wilson', 'How to Get Ahead in Advertising', 'About Schmidt', 'P.S. Your Cat Is Dead!']"
9549,A Love Song for Bobby Long,"['Marion Bridge', 'A Rumor of Angels', 'The Slaughter Rule', 'The Proprietor', 'Slaves of New York']"
9550,The Merchant of Venice,"['The Girl', 'The Comfort of Strangers', 'The Proprietor', 'Slaves of New York', 'Ordinary Sinner']"
9551,The River,"['The Inheritance', 'Buddy Boy', 'The Umbrella Woman', 'Crane World', 'All the Mornings of the World']"
9552,Rebels of the Neon God,"['Parents', 'A Night in the Life of Jimmy Reardon', ""Jason's Lyric"", 'Pastoral Symphony', 'Spin']"
9553,Captain Kidd,"['The Black Pirate', 'Cutthroat Island', 'The Sea Hawk', 'Shipwrecked', 'Treasure Island']"
9554,Hold That Ghost,"[""L'associé"", 'Snow days', 'The Château', 'Gotcha!', 'The Fortune']"
9555,Kamikaze Girls,"['After Hours', 'Me, You, Them', 'Phenomenon', 'Pollyanna', 'Rat']"
9556,Fat Albert,"['Billy Liar', 'Benji: Off the Leash!', 'The Trumpet Of The Swan', 'Big', 'Stardom']"
9557,The Keys to the House,"['Character', 'Fudoh: The New Generation', 'Under The Domim Tree', 'Crane World', 'Floating']"
9558,In the Realms of the Unreal,"['F for Fake', 'Fahrenhype 9/11', 'Catwalk', 'Condo Painting', 'Forget Baghdad: Jews and Arabs - The Iraqi Connection']"
9559,White Noise,"['Dragonfly', 'Jack the Bear', 'A Double Life', 'The Frighteners', 'The Girl']"
9560,Underclassman,"['Masterminds', 'Duplex', 'Trixie', ""L'associé"", 'Snow days']"
9561,The Upside of Anger,"['The Bedroom Window', 'State of Grace', 'The Paper Chase', 'Dream with the Fishes', ""Jumpin' Jack Flash""]"
9562,Bomb the System,"['Commandments', 'Colonel Chabert', 'Wilson', 'P.S. Your Cat Is Dead!', 'The Best Man']"
9563,Arrowhead,"['Destry Rides Again', '5 Card Stud', 'Zachariah', 'The Tin Star', 'Hot Lead & Cold Feet']"
9564,The Grateful Dead,"['Calle 54', 'Document of the Dead', 'Grateful Dawg', 'Urgh! A Music War', 'With Byrd at the South Pole']"
9565,Last Train from Gun Hill,"['Pontiac Moon', 'Benji: Off the Leash!', 'Rooster Cogburn', 'Target', 'The Magnificent Seven Ride!']"
9566,The Naked Jungle,"['Cuba', 'The Girl', 'The Proprietor', 'Slaves of New York', 'King David']"
9567,Who's the Caboose?,"['Heartbreak Hospital', 'The Kentucky Fried Movie', 'Breast Men', 'Intervista', 'Outrageous Fortune']"
9568,A Handful of Dust,"['Saturday Night Fever', 'Scarface', 'Cradle 2 the Grave', 'Metroland', 'Saturday Night and Sunday Morning']"
9569,The Pickle,"['Lovely & Amazing', 'All I Want For Christmas', 'Snow days', 'The Eighth Day', 'Love at Large']"
9570,Wetherby,"['Diamonds', 'Brimstone & Treacle', 'When Strangers Appear', 'Where Sleeping Dogs Lie', 'Ride the Pink Horse']"
9571,Little Miss Marker,"['Little Miss Marker', 'Stardust Memories', 'The Boxer', 'At First Sight', 'Honeysuckle Rose']"
9572,Little Miss Marker,"['Little Miss Marker', 'P.S. Your Cat Is Dead!', 'Raining Stones', 'Honeysuckle Rose', 'How to Get Ahead in Advertising']"
9573,Sweet Liberty,"['Panic', 'Unstrung Heroes', ""The Hairdresser's Husband"", 'Intervista', 'Commandments']"
9574,Ghost River,"['Since Otar Left', 'The Twilight Samurai', 'My Mother Likes Women', 'The Scent of Green Papaya', 'Not Without My Daughter']"
9575,It's All True,"['Fahrenhype 9/11', 'F for Fake', 'Condo Painting', 'Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'Document of the Dead']"
9576,The Phantom of the Opera,"['The Phantom of the Opera', 'Phantom of the Opera', 'Honeysuckle Rose', 'The Truman Show', 'The Code']"
9577,I Remember Mama,"['The City', 'Andre', ""What's Cooking?"", 'The Amati Girls', 'Gordy']"
9578,The Last Horror Movie,"['Eyes of Laura Mars', 'The Cell', 'Relentless', 'Tenebre', 'Anguish']"
9579,Testament,"['The Day After', 'K-19: The Widowmaker', 'Samson and Delilah', 'The Day the Earth Caught Fire', 'Closet Land']"
9580,Smooth Talk,"['Wildflowers', 'The Baby-Sitters Club', 'Beyond the Clouds', 'The Girl', 'Thérèse: The Story of Saint Thérèse of Lisieux']"
9581,Distant Thunder,"['Some Kind of Hero', ""I'll Sleep When I'm Dead"", 'The War at Home', 'A Self-Made Hero', 'Going All the Way']"
9582,Hell's Angels,"['Mirror', 'Next of Kin', 'The Reluctant Astronaut', 'Alice and Martin', 'Rocket Gibraltar']"
9583,Daddy's Dyin'... Who's Got the Will?,"['Love Finds Andy Hardy', 'Travels with My Aunt', 'It Runs in the Family', ""The Courtship of Eddie's Father"", 'The Thin Man Goes Home']"
9584,Jinxed!,"['I Love You, Alice B. Toklas!', 'Stripes', 'Honeysuckle Rose', 'Harold and Maude', 'Death of a Salesman']"
9585,Out Cold,"['A Smile Like Yours', ""L'associé"", 'Snow days', 'Judy Berlin', 'I Think I Do']"
9586,Heart of America,"['Home Room', 'The Proprietor', 'Slaves of New York', 'I Love You, I Love You Not', 'Und keiner weint mir nach']"
9587,A Show of Force,"['The Mask of Dimitrios', 'Double Jeopardy', 'Chronicles', 'The Life of David Gale', 'Song of the Thin Man']"
9588,Son of Godzilla,"['Godzilla vs. Mechagodzilla', 'Godzilla 1985', 'Mothra vs. Godzilla', 'Godzilla vs. The Sea Monster', 'King Kong vs. Godzilla']"
9589,Man Trouble,"['Snow days', 'Nothing in Common', 'A Smile Like Yours', 'Dog Park', ""L'associé""]"
9590,"The Yakuza Papers, Vol. 1: Battles Without Honor and Humanity","['The Yakuza', 'Dead or Alive', 'Postman Blues', 'Tokyo Drifter', 'Ugetsu']"
9591,Führer Ex,"['The Joke', 'The Boxer', 'Commandments', 'Mephisto', 'Mother Night']"
9592,Stander,"['Dog Day Afternoon', 'Taxi', 'Machine-Gun Kelly', 'Metro', 'No Good Deed']"
9593,Hester Street,"['Across the Sea of Time', 'Harry and Tonto', 'Cinemania', 'The City', 'A Perfect Murder']"
9594,Mikey and Nicky,"['Charley Varrick', 'Mean Streets', 'Little Caesar', 'American Psycho', 'Money for Nothing']"
9595,The Bigamist,"['The Proprietor', 'Slaves of New York', 'Between Strangers', 'Iron Jawed Angels', ""Eve's Bayou""]"
9596,Freedomfighters,"['Le Petit Soldat', 'Pretty Village, Pretty Flame', 'In Enemy Hands', 'Land and Freedom', 'The Fighting Sullivans']"
9597,Imaginary Heroes,"['Permanent Record', 'The Hospital', 'Love Liza', 'Riding the Bullet', 'Stealing Home']"
9598,Sergeant York,"['A Self-Made Hero', 'The Story of G.I. Joe', 'Midway', ""One Man's Hero"", 'Rules of Engagement']"
9599,Ruby & Quentin,"['Full Speed', 'Monsieur Verdoux', 'Penitentiary II', 'Normal Life', 'American Me']"
9600,Deathwatch,"['All Quiet on the Western Front', 'The Young Lions', 'Sahara', 'The Unknown Soldier', 'The Story of G.I. Joe']"
9601,Madame Rosa,"['Harry and Tonto', 'Rocket Gibraltar', 'Accattone', 'The Eighth Day', 'The Story of the Last Chrysanthemum']"
9602,Day of the Wacko,"['The Hanging Garden', 'Unstrung Heroes', 'P.S. Your Cat Is Dead!', 'Raining Stones', 'The Inheritance']"
9603,Wizards,"['Fire and Ice', 'Robot Jox', 'Mortal Kombat: Annihilation', 'Munchies', 'Mannequin Two: On the Move']"
9604,For Love and Gold,"['Sword of the Valiant: The Legend of Sir Gawain and the Green Knight', 'Dungeons & Dragons', 'The Adventures of Milo and Otis', 'Beat the Devil', 'Big Shots']"
9605,Heartlands,"['Slap Shot', 'Little Giants', 'Absolute Beginners', 'Grand Prix', 'Choices']"
9606,Abbott and Costello Meet the Invisible Man,"['The Amazing Transparent Man', 'Tommy Boy', 'The Rugrats Movie', 'Vacuuming Completely Nude in Paradise', 'The Alarmist']"
9607,Abbott and Costello Go to Mars,"['The Absent-Minded Professor', 'Memoirs of an Invisible Man', 'Mars Attacks!', ""Max Keeble's Big Move"", 'Joe Versus the Volcano']"
9608,"Abbott and Costello Meet the Killer, Boris Karloff","['Freddy vs. Jason', 'A Nightmare on Elm Street 3: Dream Warriors', 'Freddy Got Fingered', 'California Suite', 'Feeling Minnesota']"
9609,The Life and Death of Peter Sellers,"['Honeysuckle Rose', 'The Inheritance', 'Big Bad Love', 'The Story of the Last Chrysanthemum', 'Stardust Memories']"
9610,The Badge,"['The Big Easy', 'Invasion of the Bee Girls', 'Deceiver', 'The Mask of Dimitrios', 'Silent Night, Bloody Night']"
9611,Appleseed,"['Ghost in the Shell', 'Nemesis 2 - Nebula', 'The End of Evangelion', 'Cyborg', 'Casshern']"
9612,The Milky Way,"['Un chien andalou', 'The Phantom of Liberty', 'Robinson Crusoe', 'The Pride and the Passion', 'Went to Coney Island on a Mission from God... Be Back by Five']"
9613,Pippi in the South Seas,"['The New Adventures of Pippi Longstocking', 'Big Shots', 'Pippi on the Run', 'The Hitch Hikers Guide to the Galaxy', 'In Search of the Castaways']"
9614,Pippi on the Run,"['Pippi in the South Seas', 'Stinsen brinner... filmen alltså', 'The New Adventures of Pippi Longstocking', 'Boys Town', 'The Virgin Suicides']"
9615,Puddle Cruiser,"['Fist of Legend', 'Stardust Memories', 'Creator', ""What's New Pussycat?"", 'Stealing Home']"
9616,The Stickup,"['Going in Style', 'Employee of the Month', 'Catchfire', 'Search and Destroy', 'Delusion']"
9617,Elektra,"['Branded to Kill', 'Prince Valiant', 'Commando', 'The Beastmaster', 'Eyes of an Angel']"
9618,Racing Stripes,"['Carried Away', 'Tall Tale', 'The Grapes of Wrath', 'P.S. Your Cat Is Dead!', 'The Truman Show']"
9619,Coach Carter,"['Sunset Park', 'Above the Rim', 'Hoosiers', 'Blue Chips', 'Juwanna Mann']"
9620,The Fighting Sullivans,"['Midway', ""Schindler's List"", 'House of Fools', 'To Hell and Back', 'Guadalcanal Diary']"
9621,Iceman,"['The Man from Beyond', 'The Thing from Another World', 'Phenomenon', 'The Day of the Dolphin', 'Die, Monster, Die!']"
9622,Ice Station Zebra,"['The Hunt for Red October', 'Torpedo Run', 'Islands in the Stream', 'For Your Eyes Only', 'The Proprietor']"
9623,Lugares comunes,"['Bird of Prey', 'The Phone Box', 'Und keiner weint mir nach', 'Diebinnen', 'To Begin Again']"
9624,Boys Town,"['All Dogs Go to Heaven 2', 'The Landlord', 'Sweet Bird of Youth', 'Shiloh', 'The Big Store']"
9625,Torremolinos 73,"['Living in Oblivion', 'Stardust Memories', 'Day for Night', 'Intervista', 'The Five Obstructions']"
9626,Zhou Yu's Train,"['Love and Other Catastrophes', 'Double Suicide', 'Tango', 'Lan Yu', 'Indiscretion of an American Wife']"
9627,Shivers,"['Night of the Creeps', 'The Brood', 'Undead', 'Blood of Ghastly Horror', 'Resident Evil']"
9628,A Star Is Born,"['A Star Is Born', 'The Jazz Singer', 'Valley of the Dolls', 'Glitter', 'Foreign Student']"
9629,Beastmaster 2: Through the Portal of Time,"['Hawk the Slayer', 'Steel Dawn', 'Star Trek III: The Search for Spock', 'The Son of Kong', 'The People That Time Forgot']"
9630,Gold Diggers of 1935,"['The Boys from County Clare', 'Joseph and the Amazing Technicolor Dreamcoat', 'In the Good Old Summertime', 'Snow days', 'The Apple']"
9631,Rocco and His Brothers,"['American Gigolo', 'Monsieur Verdoux', 'Tokyo Fist', 'The Whistle Blower', 'Mac']"
9632,Strawberries in the Supermarket,"['Street Fighter', 'Star Trek V: The Final Frontier', 'The Taking of Pelham One Two Three', 'Metro', ""Everybody's Famous!""]"
9633,The Mortal Storm,"['It Runs in the Family', 'The Damned', 'The Skin Game', 'Europa Europa', 'Desperate Hours']"
9634,Once Upon a Honeymoon,"['Snow days', 'A Night in Casablanca', 'The Keep', 'Lady of Burlesque', 'My Man Godfrey']"
9635,Monday Morning,"['Under The Domim Tree', '101 Reykjavik', 'Character', 'Adanggaman', 'The Glass Menagerie']"
9636,Christmas in July,"['Kabhi Khushi Kabhie Gham', 'Forever Fever', 'The Bachelor', 'Raining Stones', 'Honeysuckle Rose']"
9637,I Married a Witch,"['Ghoulies', 'The Witches', 'Hocus Pocus', 'Inferno', 'Black Sunday']"
9638,The Mayor of Hell,"['Torque', 'The Outsiders', 'Little Caesar', 'Night Nurse', 'American Me']"
9639,The Miracle Woman,"['The Proprietor', 'Slaves of New York', 'Pastoral Symphony', 'Elmer Gantry', 'Bounce']"
9640,Moolaadé,"['Und keiner weint mir nach', 'Diebinnen', 'Babymother', 'Humanité', 'Happenstance']"
9641,This Girl's Life,"['Bar Girls', 'Raising Helen', 'Kal Ho Naa Ho', 'Possible Loves', 'Jeanne and the Perfect Guy']"
9642,Memories of Murder,"['Tightrope', 'Prime Suspect', 'Murder by Numbers', 'Frenzy', 'True Crime']"
9643,The Chase,"[""We're No Angels"", 'Breathless', 'Executive Target', 'Kops', 'Albino Alligator']"
9644,Hobson's Choice,"['Monsieur Verdoux', 'About Schmidt', 'Strangers When We Meet', ""My Boss's Daughter"", 'Little Miss Marker']"
9645,Dr. Who and the Daleks,"['Time After Time', 'Time Changer', 'Time Masters', 'Battle Beyond the Stars', 'Honey I Blew Up the Kid']"
9646,Summer Storm,"['The Baby-Sitters Club', 'Camp Nowhere', 'Maybe... Maybe Not', 'Meatballs Part II', 'Edge of Seventeen']"
9647,Downfall,"['The Human Condition II: Road to Eternity', 'Mirror', 'Cross of Iron', 'What to Do in Case of Fire?', 'Tall Tale']"
9648,The White Sound,"['WiseGirls', 'Crash Dive', 'Scorchers', ""Jason's Lyric"", 'Far Side of the Moon']"
9649,Assault on Precinct 13,"['He Walked by Night', 'Assault on Precinct 13', 'Across 110th Street', 'Physical Evidence', 'Belly']"
9650,Are We There Yet?,"['Snow days', 'My Favorite Wife', 'Pay It Forward', 'Postcards from the Edge', 'Brokedown Palace']"
9651,Alone in the Dark,"['Past Midnight', 'Age of Consent', 'Interview with the Assassin', 'Mirage', 'Zero Effect']"
9652,Hide and Seek,"['Honeysuckle Rose', 'Commandments', 'Sweet Nothing', 'How to Get Ahead in Advertising', 'Lost Embrace']"
9653,Aliens of the Deep,"['Barenaked in America', 'The Book of Fate', 'Howard the Duck', 'The Andromeda Strain', 'Phase IV']"
9654,Boogeyman,"['Lost Embrace', 'Commandments', 'The Inheritance', 'The Subject Was Roses', 'Rocket Gibraltar']"
9655,The Wedding Date,"['Seeing Other People', 'I Think I Do', 'If You Only Knew', 'Four Weddings and a Funeral', 'Wirey Spindell']"
9656,Inside I'm Dancing,"['How I Killed My Father', 'The Proprietor', 'Slaves of New York', 'Louisiana Story', 'The Truman Show']"
9657,Nobody Knows,"['Joe the King', 'The Inheritance', 'Long Live Death', 'A Cool, Dry Place', 'The Glass Menagerie']"
9658,Employee of the Month,"['Stark Raving Mad', 'Normal Life', 'Vabank', 'Pursuit of Happiness', 'The Bachelor']"
9659,Magic in the Water,"['Rocket Gibraltar', 'The Railway Children', 'Somebody Is Waiting', 'Evelyn', 'The New Adventures of Pippi Longstocking']"
9660,The Great White Hope,"['Against the Ropes', 'Split Decisions', 'Black Cloud', 'Dancing in September', 'Knockout']"
9661,A Study in Terror,"['Young Sherlock Holmes', 'Sherlock Holmes Faces Death', 'Little Caesar', 'Monsieur Verdoux', 'The Hospital']"
9662,Everything about Mustafa,"['The Inheritance', 'Crane World', 'Carried Away', ""I'll Never Forget What's'isname"", 'The Truman Show']"
9663,The Professionals,"['In Search of the Castaways', 'Breakout', 'The Treasure of the Sierra Madre', 'The Poseidon Adventure', 'Never Met Picasso']"
9664,The Devil and Miss Jones,"['Dangan Runner', 'The Toy', 'Empire Records', 'Mannequin', '30 YEARS TO LIFE']"
9665,Alice in Wonderland,"['Alice in Wonderland', 'Snow White and the Seven Dwarfs', 'All Dogs Go to Heaven 2', 'White Fang 2: Myth of the White Wolf', 'The Pagemaster']"
9666,Everyday People,"['Went to Coney Island on a Mission from God... Be Back by Five', 'The Proprietor', 'Slaves of New York', 'My Dinner with André', 'The Five Senses']"
9667,Backflash,"['Bullet', 'Gator', 'Raw Deal', 'Romeo Is Bleeding', 'Death Warrant']"
9668,Salem's Lot,"[""Salem's Lot"", 'Innocent Blood', 'Inferno', 'The Lost Boys', 'Nadja']"
9669,The Marriage of Maria Braun,"['The Unknown Soldier', 'Midway', 'Clash by Night', 'Soldier of Orange', 'The Last Valley']"
9670,The Bitter Tears of Petra von Kant,"['The Locusts', 'BUtterfield 8', 'Darling', 'Condition Red', 'The Marriage of Maria Braun']"
9671,Beau Geste,"['Legends of the Fall', 'Good Morning, Babylon', 'Tae Guk Gi: The Brotherhood of War', 'Next of Kin', 'The Wrong Box']"
9672,At Sword's Point,"['The Four Musketeers', 'The Man in the Iron Mask', 'The Three Musketeers', 'The Musketeer', 'The Three Musketeers']"
9673,Overnight,"['Demon Lover Diary', 'American Movie', 'Living in Oblivion', 'A Decade Under the Influence', 'Burden of Dreams']"
9674,Le Trou,"['Penitentiary II', 'A Man Escaped', 'The Shawshank Redemption', 'Dark Passage', 'Death Warrant']"
9675,Lessons of Darkness,"['Hearts and Minds', ""It's All True"", 'The Show', 'Fahrenhype 9/11', 'Phish: Bittersweet Motel']"
9676,Fata Morgana,"['28 Up', 'In the Mirror of Maya Deren', 'D.O.A.', 'Hail Columbia!', 'Who the Hell Is Juliette?']"
9677,Double Dragon,"['City Limits', 'Red Sonja', 'Mighty Morphin Power Rangers: The Movie', 'Yu-Gi-Oh! The Movie', 'Turbo: A Power Rangers Movie']"
9678,Mac and Me,"['Jack and the Beanstalk', 'Flight of the Navigator', 'E.T. the Extra-Terrestrial', 'Young Black Stallion', 'Kazaam']"
9679,Scorchers,"['The Sleepover', 'Crush', '...And God Created Woman', 'Divine Intervention', 'Picnic']"
9680,Rosenstrasse,"['Citizen Ruth', 'Fried Green Tomatoes', 'House of Cards', 'Holy Smoke!', 'The Age of Innocence']"
9681,Casque d'Or,"['Jules and Jim', 'The Dreamlife of Angels', 'Dil Se..', 'The Velocity of Gary', 'Jeanne and the Perfect Guy']"
9682,Touchez Pas au Grisbi,"['Sexy Beast', 'Crooks in Clover', 'High and Low', 'Brother', 'Le Samouraï']"
9683,The Matchmaker,"['Snow days', 'If You Only Knew', 'The Hi-Line', 'Next Stop Wonderland', 'A Smile Like Yours']"
9684,The Ballad of the Sad Cafe,"['Snow days', 'The Girl', 'Diamonds', 'The Proprietor', 'Slaves of New York']"
9685,The Deceivers,"['Young Sherlock Holmes', 'Heat and Dust', 'The Warrior', 'The Warrior', 'When Strangers Appear']"
9686,Siberia,"['Under The Domim Tree', 'Guantanamera', 'First Love, Last Rites', 'Bird of Prey', ""Everybody's Famous!""]"
9687,Purple Butterfly,"['Midway', 'Thirty Seconds Over Tokyo', 'The Bridge on the River Kwai', '2009: Lost Memories', 'Barefoot Gen']"
9688,Easy,"['Afterglow', 'Walking and Talking', 'Snow days', 'Just a Kiss', 'Tortilla Soup']"
9689,El Cid,"['A Self-Made Hero', 'The Desert Fox: The Story of Rommel', 'Merlin', 'Wilson', 'Mirror']"
9690,Going All the Way,"['A Self-Made Hero', 'Distant Thunder', 'My Architect', 'Elling', 'Behold a Pale Horse']"
9691,A Taxing Woman,"['I Like It Like That', 'The Low Life', 'Promise Her Anything', 'The Italian Job', 'The Best Man']"
9692,The Bunker,"['The Young Lions', 'The Bridge at Remagen', 'Zombie Lake', 'The Tunnel', 'Pretty Village, Pretty Flame']"
9693,A Fine Madness,"['Snow days', 'The Prince of Tides', 'Enemies: A Love Story', 'Sylvia', 'Reuben, Reuben']"
9694,Reap the Wild Wind,"['Wake of the Red Witch', 'Beyond the Poseidon Adventure', '20,000 Leagues Under the Sea', 'Death Ship', ""L'Atalante""]"
9695,2009: Lost Memories,"['Black Rain', 'Branded to Kill', 'Dr. Akagi', 'Spriggan', 'Purple Butterfly']"
9696,The Architecture of Doom,"['JLG/JLG: Self-Portrait in December', 'The Wonderful, Horrible Life of Leni Riefenstahl', 'Triumph of the Will', 'The Holcroft Covenant', 'Europa Europa']"
9697,Inferno,"['Buddy Boy', 'A Double Life', 'Enemies: A Love Story', 'The Girl', 'The Secret Lives of Dentists']"
9698,Howl's Moving Castle,"[""Kiki's Delivery Service"", 'Ghoulies', 'All the Little Animals', 'The Witches', 'A Rumor of Angels']"
9699,Steamboy,"['More', 'Brighton Beach Memoirs', 'Heaven Can Wait', 'The Inheritance', 'Colonel Chabert']"
9700,Gorgeous,"['Get on the Bus', 'The Shrink Is In', 'Bus Stop', 'Just Write', 'Romancing the Stone']"
9701,The Blade,"['Lost Embrace', 'The Beastmaster', 'The Story of the Last Chrysanthemum', 'Long Live Death', 'The Inheritance']"
9702,Assisted Living,"['Unstrung Heroes', 'Kabhi Khushi Kabhie Gham', 'P.S. Your Cat Is Dead!', 'Pure Country', 'The Inheritance']"
9703,The Nomi Song,"['MC5: A True Testimonial', 'Hype!', 'Urgh! A Music War', 'Calle 54', 'Carmen Jones']"
9704,Hitch,"['Milwaukee, Minnesota', 'D.C. Cab', 'Dummy', 'Never Again', 'Stardust Memories']"
9705,Pooh's Heffalump Movie,"[""Piglet's Big Movie"", 'The Tigger Movie', 'Winnie the Pooh and the Blustery Day', 'Thumbelina', 'The Brave Little Toaster']"
9706,Inside Deep Throat,"['Shadows', 'The Kentucky Fried Movie', 'The Independent', 'JLG/JLG: Self-Portrait in December', 'Swimming to Cambodia']"
9707,Uncle Nino,"['Eulogy', 'It Runs in the Family', 'Better Living', 'Planta 4ª', ""What's Cooking?""]"
9708,Bride & Prejudice,"['Pride and Prejudice', 'Snow days', 'The Fantasticks', 'The Girl', 'Lovely & Amazing']"
9709,Constantine,"['Michael', 'City of Angels', 'The Prophecy II', 'Dogma', 'The Prophecy']"
9710,Son of the Mask,"['Halloween III: Season of the Witch', 'The Mask', 'A Smile Like Yours', 'The Mark of Zorro', 'One Crazy Summer']"
9711,Because of Winn-Dixie,"['Honky Tonk Freeway', 'Clambake', 'Swimming', 'The Crime of Padre Amaro', 'The Spitfire Grill']"
9712,Turtles Can Fly,"['Blackboards', 'Le Petit Soldat', 'Frankie Starlight', 'Tea with Mussolini', 'Venice']"
9713,Beautiful Boxer,"['Knockout', 'Gladiator 1992', ""Soldier's Girl"", 'How I Killed My Father', 'Where the Rivers Flow North']"
9714,Pauly Shore Is Dead,"['Unstrung Heroes', 'P.S. Your Cat Is Dead!', 'How to Get Ahead in Advertising', 'Honeysuckle Rose', 'Sweet Nothing']"
9715,Bunny Lake Is Missing,"['Cherish', 'When Strangers Appear', 'Diamonds', 'In the Cut', 'The Passion of Darkly Noon']"
9716,Jeremy,"[""Jason's Lyric"", 'Sweet Hearts Dance', 'Benji: Off the Leash!', 'Choices', 'Dummy']"
9717,Don't Tell Her It's Me,"['Puddle Cruiser', 'Starting Over', 'Devdas', 'Creator', 'Chungking Express']"
